publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2022p841390,earthquake,2022-11-08T07:31:39.291Z,2022-11-24T02:17:29.249Z,-178.4078064,-32.41375351,5.136162593,100,mB,operator assigned,LOCSAT,confirmed,manual,iasp91,26,20,12,3.169554472,195.2340355,0.8573237867,0.1788530776
2022p824166,earthquake,2022-11-01T22:34:50.878Z,2022-11-22T00:07:19.472Z,-178.9120636,-32.86562729,5.010758568,216.2201843,mB,,LOCSAT,confirmed,manual,iasp91,27,23,46,3.691677809,187.8435764,0.7854175255,0.1641054519
2022p818633,earthquake,2022-10-30T21:27:19.723Z,2022-11-16T22:10:59.706Z,-179.8596191,-34.1542244,5.230209783,100,mB,operator assigned,LOCSAT,confirmed,manual,iasp91,17,14,13,3.712496519,181.2031822,0.851697036,0.1636470166
2022p816171,earthquake,2022-10-29T23:35:55.754Z,2022-10-29T23:39:57.798Z,172.6223755,-42.01646423,5.258944019,53.3392868,MLv,,LOCSAT,confirmed,manual,iasp91,51,32,115,0.2343818843,62.91549683,0.2858090701,0.219496233
2022p811254,earthquake,2022-10-28T03:55:57.372Z,2022-11-16T00:58:13.481Z,-178.8038177,-35.78899002,5.890617467,33,mB,operator assigned,LOCSAT,confirmed,manual,iasp91,36,26,12,2.920149565,161.9156075,1.422707633,0.109526121
2022p781438,earthquake,2022-10-17T03:10:04.100Z,2022-10-30T22:19:10.683Z,165.1981049,-47.89823532,5.167416558,33,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,18,12,14,2.007634163,325.0917015,0.7847975615,0.154546743
2022p772929,earthquake,2022-10-13T23:36:15.063Z,2022-10-27T21:14:33.233Z,-177.1880035,-33.38061905,5.193336391,33,mB,operator assigned,LOCSAT,confirmed,manual,iasp91,25,22,35,4.153398037,186.5655212,1.72663017,0.1883369104
2022p771854,earthquake,2022-10-13T14:03:56.110Z,2022-10-27T03:14:58.684Z,173.4305573,-40.38648987,5.736686589,145.8435669,MLv,,LOCSAT,confirmed,manual,iasp91,32,26,49,0.5584753752,139.7772636,0.3626312329,0.1872371328
2022p770832,earthquake,2022-10-13T04:58:41.900Z,2022-10-27T02:46:35.340Z,-177.7198486,-33.01302719,5.253710418,33,mB,operator assigned,LOCSAT,confirmed,manual,iasp91,20,17,26,3.743239164,178.3907471,0.8750662168,0.2840608769
2022p757921,earthquake,2022-10-08T10:20:46.582Z,2022-10-21T01:34:59.235Z,167.4156342,-45.15620804,5.217657991,54.29668427,MLv,,LOCSAT,confirmed,manual,iasp91,31,21,43,0.3372662961,145.740921,0.4327496324,0.2300460669
